Quarter,GDP US$ Billions,U.S. Aviation Gasoline - MGallons,Gasoline  - MGallons,Diesel  - MGallons,NatGAs by Quarter -MMCF, Electricity BWH ,U.S. Aviation Gasoline - BTU,Gasoline By Quarter - BTU,Diesel By Quarter - BTU,NatGAs by Quarter - BTU, Electricity - BTU 
Q1 2020,"21,561","34,266","30,684,841","15,588,489","5,603,537","884,810","4,228","3,804,920","2,176,153","5,883,714","3,018,973"
Q4 2019,"21,747","35,111","33,717,750","15,912,627","4,819,769","889,330","4,333","4,181,001","2,221,403","5,060,757","3,034,394"
Q3 2019,"21,540","45,672","34,753,940","15,358,720","2,729,751","1,071,814","5,636","4,309,489","2,144,077","2,866,239","3,657,028"
Q2 2019,"21,330","45,642","34,079,190","15,151,624","3,237,185","876,905","5,632","4,225,820","2,115,167","3,399,044","2,992,000"
Q1 2019,"21,115","32,690","31,515,817","15,613,162","6,173,048","911,489","4,034","3,907,961","2,179,597","6,481,700","3,110,001"
Q4 2018,"20,910","40,372","34,193,299","16,362,990","4,892,829","911,993","4,982","4,239,969","2,284,273","5,137,470","3,111,719"
Q3 2018,"20,743","50,081","35,127,688","15,915,812","2,741,725","1,093,664","6,180","4,355,833","2,221,847","2,878,811","3,731,580"
Q2 2018,"20,553","44,416","34,957,722","15,887,020","3,357,489","920,033","5,481","4,334,758","2,217,828","3,525,363","3,139,154"
Q1 2018,"20,242","30,548","32,451,055","15,967,370","5,947,241","934,429","3,770","4,023,931","2,229,045","6,244,603","3,188,272"
Q4 2017,"19,938","39,175","34,389,114","16,109,617","4,630,799","895,102","4,834","4,264,250","2,248,903","4,862,339","3,054,089"
Q3 2017,"19,617","46,885","35,305,595","15,412,018","2,630,723","1,049,601","5,786","4,377,894","2,151,518","2,762,259","3,581,240"
Q2 2017,"19,379","44,062","34,963,024","15,465,819","3,018,796","893,254","5,437","4,335,415","2,159,028","3,169,736","3,047,784"
Q1 2017,"19,237","30,531","32,260,444","14,645,158","5,294,101","885,398","3,767","4,000,295","2,044,464","5,558,806","3,020,978"
Q4 2016,"19,033","38,509","34,075,697","14,966,163","4,317,616","884,720","4,752","4,225,386","2,089,276","4,533,497","3,018,664"
Q3 2016,"18,821","48,436","35,131,344","14,584,302","2,592,187","1,090,117","5,977","4,356,287","2,035,969","2,721,796","3,719,478"
